message,cleaned_message,language,translated_message,sentiment
"As additional information for you 


There are few members spoke good about you saying you are knowledgeable in EV at the same time they have mentioned you not aligned to to help rather you are criticising Harrier.EV",as additional information for you there are few members spoke good about you saying you are knowledgeable in ev at the same time they have mentioned you not aligned to to help rather you are criticising harrierev,en,"As additional information for you 


There are few members spoke good about you saying you are knowledgeable in EV at the same time they have mentioned you not aligned to to help rather you are criticising Harrier.EV",Positive
"Good, 

Group members expect real raw video to be sent which are helpful 

If any issues found you have to be in a position to help not to criticise Harrier.EV and showing some other cars are better

Be helpful for Tata Harrier.EV if any issues found how to fix it than criticising

That’s how you can align with group",good group members expect real raw video to be sent which are helpful if any issues found you have to be in a position to help not to criticise harrierev and showing some other cars are better be helpful for tata harrierev if any issues found how to fix it than criticising thats how you can align with group,en,"Good, 

Group members expect real raw video to be sent which are helpful 

If any issues found you have to be in a position to help not to criticise Harrier.EV and showing some other cars are better

Be helpful for Tata Harrier.EV if any issues found how to fix it than criticising

That’s how you can align with group",Positive
"There are requests coming to remove such members from this group

We expect to align with Group interest

If someone doesn’t like Harrier.EV you can exit from this group

If we we notice anyone continuing as such you will be removed from this group",there are requests coming to remove such members from this group we expect to align with group interest if someone doesnt like harrierev you can exit from this group if we we notice anyone continuing as such you will be removed from this group,en,"There are requests coming to remove such members from this group

We expect to align with Group interest

If someone doesn’t like Harrier.EV you can exit from this group

If we we notice anyone continuing as such you will be removed from this group",Neutral
"Who ever it is Stop spreading misinformation, as per the image and message it’s not EV, it’s ICE Harrier image, we can’t insist such misinformations without raw video",who ever it is stop spreading misinformation as per the image and message its not ev its ice harrier image we cant insist such misinformations without raw video,en,"Who ever it is Stop spreading misinformation, as per the image and message it’s not EV, it’s ICE Harrier image, we can’t insist such misinformations without raw video",Negative
"It has to be activated by tata. I got email to activate ira.ev for my harrier ev yesterday. Hopefully, I will get access today",it has to be activated by tata i got email to activate iraev for my harrier ev yesterday hopefully i will get access today,en,"It has to be activated by tata. I got email to activate ira.ev for my harrier ev yesterday. Hopefully, I will get access today",Neutral
But Harrier is also good if you want a safe solid car to make sure you go over bad roads and no roads and flooded roads,but harrier is also good if you want a safe solid car to make sure you go over bad roads and no roads and flooded roads,en,But Harrier is also good if you want a safe solid car to make sure you go over bad roads and no roads and flooded roads,Positive
Harrier was desighned with fuel driven drive train and aerodynamics of a offroading heavy duty vehicle powered by fuel and it's efficiency,harrier was desighned with fuel driven drive train and aerodynamics of a offroading heavy duty vehicle powered by fuel and its efficiency,en,Harrier was desighned with fuel driven drive train and aerodynamics of a offroading heavy duty vehicle powered by fuel and it's efficiency,Negative
Why there is so much diff between range of xe9 and harrier ev,why there is so much diff between range of xe and harrier ev,en,Why there is so much diff between range of xe9 and harrier ev,Positive
Can any one guide me how digi access works in harrier ev,can any one guide me how digi access works in harrier ev,en,Can any one guide me how digi access works in harrier ev,Neutral
Harrier.ev Stealth in trouble?,harrierev stealth in trouble,en,Harrier.ev Stealth in trouble?,Negative
"This are common car accessories and I checked few are compatible for Harrier, I felt it was group relevant, just in case case if he spams too many time (more than once a week) you can consider banning him, 

that’s my view",this are common car accessories and i checked few are compatible for harrier i felt it was group relevant just in case case if he spams too many time more than once a week you can consider banning him thats my view,en,"This are common car accessories and I checked few are compatible for Harrier, I felt it was group relevant, just in case case if he spams too many time (more than once a week) you can consider banning him, 

that’s my view",Positive
"The risk is lower but yes the risk still exists, harrier also has mind bending 600 mm water wading so that also helps",the risk is lower but yes the risk still exists harrier also has mind bending mm water wading so that also helps,en,"The risk is lower but yes the risk still exists, harrier also has mind bending 600 mm water wading so that also helps",Neutral
So acko will be good for harrier ev?,so acko will be good for harrier ev,en,So acko will be good for harrier ev?,Positive
Since harrier EVs engine area unlike other EVs has a storage space and is sealed it's safe,since harrier evs engine area unlike other evs has a storage space and is sealed its safe,en,Since harrier EVs engine area unlike other EVs has a storage space and is sealed it's safe,Positive
So for harrier ev it is similar like other ICE car,so for harrier ev it is similar like other ice car,en,So for harrier ev it is similar like other ICE car,Neutral
Wash the whole body no problem just don't wash the engine area (not applicable for harrier ev) or the underbody of the car where the dc cables go into the battery pack,wash the whole body no problem just dont wash the engine area not applicable for harrier ev or the underbody of the car where the dc cables go into the battery pack,en,Wash the whole body no problem just don't wash the engine area (not applicable for harrier ev) or the underbody of the car where the dc cables go into the battery pack,Positive
Even RWD is having more power than ice engine of safari/harrier then I don't think there are any need of more power for go to hilly area also,even rwd is having more power than ice engine of safariharrier then i dont think there are any need of more power for go to hilly area also,en,Even RWD is having more power than ice engine of safari/harrier then I don't think there are any need of more power for go to hilly area also,Positive
"Enjoy this list of 

**Spatial Audio with Dolby Atmos in Apple Music **by connecting to CarPlay in harrier.ev",enjoy this list of spatial audio with dolby atmos in apple music by connecting to carplay in harrierev,en,"Enjoy this list of 

**Spatial Audio with Dolby Atmos in Apple Music **by connecting to CarPlay in harrier.ev",Positive
Join this group if you’re planning to buy the Harrier EV and no longer like the vibe here.,join this group if youre planning to buy the harrier ev and no longer like the vibe here,en,Join this group if you’re planning to buy the Harrier EV and no longer like the vibe here.,Neutral
Are bhai uske pas recharge krne tak ke paise nhi . U think this guy will get harrier ?,are bhai uske pas recharge krne tak ke paise nhi u think this guy will get harrier ,en,Are bhai uske pas recharge krne tak ke paise nhi . U think this guy will get harrier ?,Neutral
"Please tell me the name of the perfect car (which you endorse) and which has got no issues at all......

Incase you are unable to give the name of that car.... Then please stop discouraging people from buying Tata cars.... Yes I know and we all know that we may have to have some issue in Harrier, for which I am totally ready, not thats the case with any car..... Mahindra twins are more than 7 months old but still there are issues in their new production lots, but still people are buying it....  

If these issues makes a person so worried, then please don't buy a car in India and travel in Uber/Ola....",please tell me the name of the perfect car which you endorse and which has got no issues at all incase you are unable to give the name of that car then please stop discouraging people from buying tata cars yes i know and we all know that we may have to have some issue in harrier for which i am totally ready not thats the case with any car mahindra twins are more than months old but still there are issues in their new production lots but still people are buying it if these issues makes a person so worried then please dont buy a car in india and travel in uberola,en,"Please tell me the name of the perfect car (which you endorse) and which has got no issues at all......

Incase you are unable to give the name of that car.... Then please stop discouraging people from buying Tata cars.... Yes I know and we all know that we may have to have some issue in Harrier, for which I am totally ready, not thats the case with any car..... Mahindra twins are more than 7 months old but still there are issues in their new production lots, but still people are buying it....  

If these issues makes a person so worried, then please don't buy a car in India and travel in Uber/Ola....",Positive
I understand all of you have already made up your mind about the harrier so have i ....i just want you guys to know the reality that you could or could not face that's all ....as we spoke there was a live session of a dec 2022 model nexon which shares the same components that are used in the harrier that cause and have been known to cause issues in all their products yet they have used the same components am just brining this to light that's all,i understand all of you have already made up your mind about the harrier so have i i just want you guys to know the reality that you could or could not face thats all as we spoke there was a live session of a dec model nexon which shares the same components that are used in the harrier that cause and have been known to cause issues in all their products yet they have used the same components am just brining this to light thats all,en,I understand all of you have already made up your mind about the harrier so have i ....i just want you guys to know the reality that you could or could not face that's all ....as we spoke there was a live session of a dec 2022 model nexon which shares the same components that are used in the harrier that cause and have been known to cause issues in all their products yet they have used the same components am just brining this to light that's all,Positive
"The below is the link for the other Harrier EV Group. It's more peaceful group than this. Pls join thr if interested.

https://t.me/HarrierEV_Club",the below is the link for the other harrier ev group its more peaceful group than this pls join thr if interested ,en,"The below is the link for the other Harrier EV Group. It's more peaceful group than this. Pls join thr if interested.

https://t.me/HarrierEV_Club",Positive
"Language dude, u don't know any of us here and the way u r speaking wit us is not good, not professional(if u r one) and not ethical. We are here to share our harrier ev experiences as buyers and mutually respect each other. That's wat i meant as ppl like u, for that u called me back to back on my telegram yesterday midnight. I did not pick the first time then again the second time u called. I don't know which professional does that by calling at 1am midnight. My wife woke up and asked me who was calling at midnight and I had to explain to her. Not good dude. Stay whr u r.",language dude u dont know any of us here and the way u r speaking wit us is not good not professionalif u r one and not ethical we are here to share our harrier ev experiences as buyers and mutually respect each other thats wat i meant as ppl like u for that u called me back to back on my telegram yesterday midnight i did not pick the first time then again the second time u called i dont know which professional does that by calling at am midnight my wife woke up and asked me who was calling at midnight and i had to explain to her not good dude stay whr u r,en,"Language dude, u don't know any of us here and the way u r speaking wit us is not good, not professional(if u r one) and not ethical. We are here to share our harrier ev experiences as buyers and mutually respect each other. That's wat i meant as ppl like u, for that u called me back to back on my telegram yesterday midnight. I did not pick the first time then again the second time u called. I don't know which professional does that by calling at 1am midnight. My wife woke up and asked me who was calling at midnight and I had to explain to her. Not good dude. Stay whr u r.",Neutral
"So shut up and keep your opinions to yourself 
Unless you can share anything on Harrier EV 
For that, just say and shut up after it",so shut up and keep your opinions to yourself unless you can share anything on harrier ev for that just say and shut up after it,en,"So shut up and keep your opinions to yourself 
Unless you can share anything on Harrier EV 
For that, just say and shut up after it",Neutral
"Oh
Is that Harrier EV?",oh is that harrier ev,en,"Oh
Is that Harrier EV?",Neutral
"You should leave the group when you are here just to tell people not to buy Harrier EV 

Any person by now would have understood that by now

Sticking to just one line, my prime & Maxx had issue so now don't buy Harrier EV",you should leave the group when you are here just to tell people not to buy harrier ev any person by now would have understood that by now sticking to just one line my prime maxx had issue so now dont buy harrier ev,en,"You should leave the group when you are here just to tell people not to buy Harrier EV 

Any person by now would have understood that by now

Sticking to just one line, my prime & Maxx had issue so now don't buy Harrier EV",Neutral
@Mebz4 why have you booked harrier ev then?,mebz why have you booked harrier ev then,en,@Mebz4 why have you booked harrier ev then?,Neutral
"Your right , hows your harrier doing ?",your right hows your harrier doing ,en,"Your right , hows your harrier doing ?",Positive
"I think some people are loosing common sense, 

this is harrier group post about harrier real experience 

If you have other cars to be posted in other groups 

Only people who don’t have ethics or common sense will post in this group about other cars",i think some people are loosing common sense this is harrier group post about harrier real experience if you have other cars to be posted in other groups only people who dont have ethics or common sense will post in this group about other cars,en,"I think some people are loosing common sense, 

this is harrier group post about harrier real experience 

If you have other cars to be posted in other groups 

Only people who don’t have ethics or common sense will post in this group about other cars",Negative
"Naah
I said multiple times that group is for Harrier EV and let's stick to it
But exactly opposite happened 
But you my friend are doing same thing since noon, trying to be a influencer and guru here",naah i said multiple times that group is for harrier ev and lets stick to it but exactly opposite happened but you my friend are doing same thing since noon trying to be a influencer and guru here,en,"Naah
I said multiple times that group is for Harrier EV and let's stick to it
But exactly opposite happened 
But you my friend are doing same thing since noon, trying to be a influencer and guru here",Neutral
"The actuator issue is not as big a problem as it’s sometimes made out to be, and it shouldn’t be a deal breaker. Based on records from the last 2–3 years, the number of cases has reduced after Tata introduced a small cover for the Nexon’s actuator.

It’s also not true that people were frequently stranded at chargers due to the charging gun failing to unlock. Most users now know how to unlock it manually, and help is readily available through various forums.

With the 2025 Nexon 45, Tata has started fully covering the actuator from the bottom. This prevents mud splashes on the actuator, which used to be the main cause of failures. The same cover is now also provided on the Harrier. The only trade-off is that reaching the actuator now requires removing the cover.",the actuator issue is not as big a problem as its sometimes made out to be and it shouldnt be a deal breaker based on records from the last years the number of cases has reduced after tata introduced a small cover for the nexons actuator its also not true that people were frequently stranded at chargers due to the charging gun failing to unlock most users now know how to unlock it manually and help is readily available through various forums with the nexon tata has started fully covering the actuator from the bottom this prevents mud splashes on the actuator which used to be the main cause of failures the same cover is now also provided on the harrier the only tradeoff is that reaching the actuator now requires removing the cover,en,"The actuator issue is not as big a problem as it’s sometimes made out to be, and it shouldn’t be a deal breaker. Based on records from the last 2–3 years, the number of cases has reduced after Tata introduced a small cover for the Nexon’s actuator.

It’s also not true that people were frequently stranded at chargers due to the charging gun failing to unlock. Most users now know how to unlock it manually, and help is readily available through various forums.

With the 2025 Nexon 45, Tata has started fully covering the actuator from the bottom. This prevents mud splashes on the actuator, which used to be the main cause of failures. The same cover is now also provided on the Harrier. The only trade-off is that reaching the actuator now requires removing the cover.",Neutral
What next is the Samsung screen of your harrier,what next is the samsung screen of your harrier,en,What next is the Samsung screen of your harrier,Neutral
"You said Tata is giving you long term Harrier EV for review 
I will be more interested in hearing why Tata will give car to someone with such low views on YouTube?",you said tata is giving you long term harrier ev for review i will be more interested in hearing why tata will give car to someone with such low views on youtube,en,"You said Tata is giving you long term Harrier EV for review 
I will be more interested in hearing why Tata will give car to someone with such low views on YouTube?",Positive
"Apni kuch likha to it will be threatening feeling again
Nhi likha to crying 
Reply kro to bear

And Harrier k group pr MG lelo Hyundai Lelo and end mein sbke sb BYD lelo is the conclusion",apni kuch likha to it will be threatening feeling again nhi likha to crying reply kro to bear and harrier k group pr mg lelo hyundai lelo and end mein sbke sb byd lelo is the conclusion,en,"Apni kuch likha to it will be threatening feeling again
Nhi likha to crying 
Reply kro to bear

And Harrier k group pr MG lelo Hyundai Lelo and end mein sbke sb BYD lelo is the conclusion",Negative
"What a good strategy 
Started the group as Harrier EV customers 
Changed the narrative to issues
Define yourself as baba
Then start doing consultation 
And start suggesting all other EVs except jiska group hai 😂

Because I am the greatest person who all should follow

Expert opinion from guy whose youtube channel is so famous and so many fan followings",what a good strategy started the group as harrier ev customers changed the narrative to issues define yourself as baba then start doing consultation and start suggesting all other evs except jiska group hai because i am the greatest person who all should follow expert opinion from guy whose youtube channel is so famous and so many fan followings,en,"What a good strategy 
Started the group as Harrier EV customers 
Changed the narrative to issues
Define yourself as baba
Then start doing consultation 
And start suggesting all other EVs except jiska group hai 😂

Because I am the greatest person who all should follow

Expert opinion from guy whose youtube channel is so famous and so many fan followings",Positive
As you have a great experience in charging I'm asking a basic question - does harrier ev have to be charged frequently - I mean once in a week. Is it ok to charge once in 15 days? Is ev is only for heavy users or normal users can also buy it?,as you have a great experience in charging im asking a basic question does harrier ev have to be charged frequently i mean once in a week is it ok to charge once in days is ev is only for heavy users or normal users can also buy it,en,As you have a great experience in charging I'm asking a basic question - does harrier ev have to be charged frequently - I mean once in a week. Is it ok to charge once in 15 days? Is ev is only for heavy users or normal users can also buy it?,Positive
Yes if you can check and let us know and the main thing is how to rectify that issue. So the solution will be helpful. As mostly all decided already to buy harrier ev,yes if you can check and let us know and the main thing is how to rectify that issue so the solution will be helpful as mostly all decided already to buy harrier ev,en,Yes if you can check and let us know and the main thing is how to rectify that issue. So the solution will be helpful. As mostly all decided already to buy harrier ev,Positive
Can you give a few tips to avoid these kinds of issues in Harrier ev. Is this caused due to a bad road or anything else?,can you give a few tips to avoid these kinds of issues in harrier ev is this caused due to a bad road or anything else,en,Can you give a few tips to avoid these kinds of issues in Harrier ev. Is this caused due to a bad road or anything else?,Negative
Will you choose a harrier ev as your primary vehicle?,will you choose a harrier ev as your primary vehicle,en,Will you choose a harrier ev as your primary vehicle?,Positive
"@Mebz4 a genuine question.
If you had to choose between harrier ev and XeV9e. Which one would you choose?",mebz a genuine question if you had to choose between harrier ev and xeve which one would you choose,en,"@Mebz4 a genuine question.
If you had to choose between harrier ev and XeV9e. Which one would you choose?",Positive
"Guys,
I spoke to Meherab just now. He is a genuine guy with good knowledge on EVs.

Things I learned from him
1. Tata is not as reliable as other high budget EVs are.
2. Service may be delayed and biased to known individuals.

Summary:
If you are ready to adjust small bits and have good relations with TATA service, you can go ahead with Harrier EV.


But if you are a person who feels that on spending 30 lakh, you will have a hassle free experience, you should think again.

Please don't corner him and let's listen what he has to say without any bias and add on our knowledge on EVs.",guys i spoke to meherab just now he is a genuine guy with good knowledge on evs things i learned from him tata is not as reliable as other high budget evs are service may be delayed and biased to known individuals summary if you are ready to adjust small bits and have good relations with tata service you can go ahead with harrier ev but if you are a person who feels that on spending lakh you will have a hassle free experience you should think again please dont corner him and lets listen what he has to say without any bias and add on our knowledge on evs,en,"Guys,
I spoke to Meherab just now. He is a genuine guy with good knowledge on EVs.

Things I learned from him
1. Tata is not as reliable as other high budget EVs are.
2. Service may be delayed and biased to known individuals.

Summary:
If you are ready to adjust small bits and have good relations with TATA service, you can go ahead with Harrier EV.


But if you are a person who feels that on spending 30 lakh, you will have a hassle free experience, you should think again.

Please don't corner him and let's listen what he has to say without any bias and add on our knowledge on EVs.",Positive
"Yes, even with open eyes you can’t differentiate between a Nexon and harrier",yes even with open eyes you cant differentiate between a nexon and harrier,en,"Yes, even with open eyes you can’t differentiate between a Nexon and harrier",Neutral
If you are able to share harrier related issues and problems from your community that’s will be very helpful.,if you are able to share harrier related issues and problems from your community thats will be very helpful,en,If you are able to share harrier related issues and problems from your community that’s will be very helpful.,Positive
we would like to understand harrier EV problems if there is any please share .,we would like to understand harrier ev problems if there is any please share ,en,we would like to understand harrier EV problems if there is any please share .,Neutral
can you please share a video where harrier EV is stuck ?,can you please share a video where harrier ev is stuck ,en,can you please share a video where harrier EV is stuck ?,Neutral
"This is nexon, not harrier",this is nexon not harrier,en,"This is nexon, not harrier",Neutral
"4x4 vehicles defination to type here is too much effort , but all I can say is that the harrier ev is a AWD vehicle which is different from 4x4 and AWD is best suited for MILD to low Offroading also known as a softroader which actually offers big powerful cars more traction on highways and helps putting down all that power and torque evenly on the road and slippery wet conditions",x vehicles defination to type here is too much effort but all i can say is that the harrier ev is a awd vehicle which is different from x and awd is best suited for mild to low offroading also known as a softroader which actually offers big powerful cars more traction on highways and helps putting down all that power and torque evenly on the road and slippery wet conditions,en,"4x4 vehicles defination to type here is too much effort , but all I can say is that the harrier ev is a AWD vehicle which is different from 4x4 and AWD is best suited for MILD to low Offroading also known as a softroader which actually offers big powerful cars more traction on highways and helps putting down all that power and torque evenly on the road and slippery wet conditions",Positive
Earlier Nexon and Tiago had an exposed area under the charging gun. In Harrier they have fully covered it,earlier nexon and tiago had an exposed area under the charging gun in harrier they have fully covered it,en,Earlier Nexon and Tiago had an exposed area under the charging gun. In Harrier they have fully covered it,Neutral
Guys check the area under the charging port of the Harrier if they have fully covered it or not?,guys check the area under the charging port of the harrier if they have fully covered it or not,en,Guys check the area under the charging port of the Harrier if they have fully covered it or not?,Neutral
I just want to know your opinion on harrier ev.,i just want to know your opinion on harrier ev,en,I just want to know your opinion on harrier ev.,Neutral
Then please give some opinion on harrier ev,then please give some opinion on harrier ev,en,Then please give some opinion on harrier ev,Neutral
I’ll accept the opinions about harrier ev only.,ill accept the opinions about harrier ev only,en,I’ll accept the opinions about harrier ev only.,Neutral
"Listen if have anything to say about harrier ev, please do.
Otherwise no one wants your gyan.
That’s all. Have a good day",listen if have anything to say about harrier ev please do otherwise no one wants your gyan thats all have a good day,en,"Listen if have anything to say about harrier ev, please do.
Otherwise no one wants your gyan.
That’s all. Have a good day",Positive
"I have booked harrier ev
I want to know opinion of others as well",i have booked harrier ev i want to know opinion of others as well,en,"I have booked harrier ev
I want to know opinion of others as well",Neutral
"I don’t know why are you in this group?
You don’t have any contribution to make.
Neither you are planning to purchase harrier ev",i dont know why are you in this group you dont have any contribution to make neither you are planning to purchase harrier ev,en,"I don’t know why are you in this group?
You don’t have any contribution to make.
Neither you are planning to purchase harrier ev",Neutral
"@CredR_Siva just curious, which variant of the harrier ev have you booked?",credrsiva just curious which variant of the harrier ev have you booked,en,"@CredR_Siva just curious, which variant of the harrier ev have you booked?",Neutral
"FYI, if you have 30 years of experience in automobiles, you wouldnt ask so many questions because there is only 1 EV in India that is 4X4 EV

The one and only **Harrier EV**

Over and out.",fyi if you have years of experience in automobiles you wouldnt ask so many questions because there is only ev in india that is x ev the one and only harrier ev over and out,en,"FYI, if you have 30 years of experience in automobiles, you wouldnt ask so many questions because there is only 1 EV in India that is 4X4 EV

The one and only **Harrier EV**

Over and out.",Positive
"No it’s not.
This group is for harrier ev only.
You have no opinion in that?",no its not this group is for harrier ev only you have no opinion in that,en,"No it’s not.
This group is for harrier ev only.
You have no opinion in that?",Neutral
"I am going for Harrier EV for my personal use. I travel around 1500 km per month.

Please let me know as per your experience what are ev options that have 4X4 offroad capabilities in EV.

Expecting a straight answer for straight question",i am going for harrier ev for my personal use i travel around km per month please let me know as per your experience what are ev options that have x offroad capabilities in ev expecting a straight answer for straight question,en,"I am going for Harrier EV for my personal use. I travel around 1500 km per month.

Please let me know as per your experience what are ev options that have 4X4 offroad capabilities in EV.

Expecting a straight answer for straight question",Positive
"Ok,
I’ll rephrase my question.
Why and why not harrier ev?",ok ill rephrase my question why and why not harrier ev,en,"Ok,
I’ll rephrase my question.
Why and why not harrier ev?",Positive
Why dont u ask specific questions around harrier he has wealth of info all tata sc guys go to mebz bhai,why dont u ask specific questions around harrier he has wealth of info all tata sc guys go to mebz bhai,en,Why dont u ask specific questions around harrier he has wealth of info all tata sc guys go to mebz bhai,Neutral
Yes . Those who are not related to harrier may simply leave .,yes those who are not related to harrier may simply leave ,en,Yes . Those who are not related to harrier may simply leave .,Neutral
"Guys, I am not tagging anyone here. But this is a grp for ppl who like harrier ev, who have booked harrier ev or/and who own harrier ev. Comments and reviews most welcome, hatred pls big no for it. I was also in Mahindra 9e BE6 grps earlier, as I booked 9e earlier and came here as I cancelled it and booked harrier ev. So if ppl like, booked or own harrier ev, it makes sense for ppl to stay here and discuss more. In that intention someone who have told to exit the grp. Not in any other intention for sure. U r free to stay here. But let's respect each other and help each other, rather than showering attitude and hatred across.",guys i am not tagging anyone here but this is a grp for ppl who like harrier ev who have booked harrier ev orand who own harrier ev comments and reviews most welcome hatred pls big no for it i was also in mahindra e be grps earlier as i booked e earlier and came here as i cancelled it and booked harrier ev so if ppl like booked or own harrier ev it makes sense for ppl to stay here and discuss more in that intention someone who have told to exit the grp not in any other intention for sure u r free to stay here but lets respect each other and help each other rather than showering attitude and hatred across,en,"Guys, I am not tagging anyone here. But this is a grp for ppl who like harrier ev, who have booked harrier ev or/and who own harrier ev. Comments and reviews most welcome, hatred pls big no for it. I was also in Mahindra 9e BE6 grps earlier, as I booked 9e earlier and came here as I cancelled it and booked harrier ev. So if ppl like, booked or own harrier ev, it makes sense for ppl to stay here and discuss more. In that intention someone who have told to exit the grp. Not in any other intention for sure. U r free to stay here. But let's respect each other and help each other, rather than showering attitude and hatred across.",Positive
I don’t see any video in your channel related to harrier EV. Can you please help with the video pls,i dont see any video in your channel related to harrier ev can you please help with the video pls,en,I don’t see any video in your channel related to harrier EV. Can you please help with the video pls,Neutral
"Can anybody tell me, can we change the sound of harrier ev at slow speed?",can anybody tell me can we change the sound of harrier ev at slow speed,en,"Can anybody tell me, can we change the sound of harrier ev at slow speed?",Neutral
"We will get to know in few days as delivery have just started for Harrier EV 
There should be customers who got allocation of Fearless, Adventure trims",we will get to know in few days as delivery have just started for harrier ev there should be customers who got allocation of fearless adventure trims,en,"We will get to know in few days as delivery have just started for Harrier EV 
There should be customers who got allocation of Fearless, Adventure trims",Negative
"Need not worry about this. This is become a feature of Tata evs now.😂.
Like in other models this may appear in Harrier also but it will go if you restart the car. This is their self healing feature. Not to worry about it at all.",need not worry about this this is become a feature of tata evs now like in other models this may appear in harrier also but it will go if you restart the car this is their self healing feature not to worry about it at all,en,"Need not worry about this. This is become a feature of Tata evs now.😂.
Like in other models this may appear in Harrier also but it will go if you restart the car. This is their self healing feature. Not to worry about it at all.",Negative
My cars are fine but only reason i am selling one off for harrier ev is because uncertainity around diesels,my cars are fine but only reason i am selling one off for harrier ev is because uncertainity around diesels,en,My cars are fine but only reason i am selling one off for harrier ev is because uncertainity around diesels,Positive
I saw two glitches in my harrier ev yesterday,i saw two glitches in my harrier ev yesterday,en,I saw two glitches in my harrier ev yesterday,Neutral
"Thought it's a negative video, the owner is quite happy with Harrier EV. 

It seems that PDI was not carried out for the car...",thought its a negative video the owner is quite happy with harrier ev it seems that pdi was not carried out for the car,en,"Thought it's a negative video, the owner is quite happy with Harrier EV. 

It seems that PDI was not carried out for the car...",Positive
This is mentioned in Harrier EV manual,this is mentioned in harrier ev manual,en,This is mentioned in Harrier EV manual,Neutral
"Dear prospective buyers of Tata Harrier EV 🙏

Greetings from National Insurance Company Ltd 🦚

If you are looking for EV 🔋 Insurance at a competitive rate ,Kindly DM for quotes .

Call / Watsapp : 
9846177768",dear prospective buyers of tata harrier ev greetings from national insurance company ltd if you are looking for ev insurance at a competitive rate kindly dm for quotes call watsapp ,en,"Dear prospective buyers of Tata Harrier EV 🙏

Greetings from National Insurance Company Ltd 🦚

If you are looking for EV 🔋 Insurance at a competitive rate ,Kindly DM for quotes .

Call / Watsapp : 
9846177768",Positive
"t.me/HarrierEV_Club


Join only if you are really interested in the Harrier EV.",tmeharrierevclub join only if you are really interested in the harrier ev,en,"t.me/HarrierEV_Club


Join only if you are really interested in the Harrier EV.",Positive
I work in a tech giant company in a corporate environment with 400k+ employees operate across the globe..there is limit in constructive criticism.. I think you are mahindra agent keeping all bad views on harrier ev..,i work in a tech giant company in a corporate environment with k employees operate across the globethere is limit in constructive criticism i think you are mahindra agent keeping all bad views on harrier ev,en,I work in a tech giant company in a corporate environment with 400k+ employees operate across the globe..there is limit in constructive criticism.. I think you are mahindra agent keeping all bad views on harrier ev..,Negative
"Mahindra matching Harrier EV prices by offering 3L discount 

I told few days back that there are lot of Cancellation at Mahindra, and they are doing whatever they can to save their sales - discounts, wrong info about Harrier EV etc

Remember there is no better VALUE FOR MONEY product than Harrier EV in the market",mahindra matching harrier ev prices by offering l discount i told few days back that there are lot of cancellation at mahindra and they are doing whatever they can to save their sales discounts wrong info about harrier ev etc remember there is no better value for money product than harrier ev in the market,en,"Mahindra matching Harrier EV prices by offering 3L discount 

I told few days back that there are lot of Cancellation at Mahindra, and they are doing whatever they can to save their sales - discounts, wrong info about Harrier EV etc

Remember there is no better VALUE FOR MONEY product than Harrier EV in the market",Negative
"My suggestion will be to have a core harrier EV Community those who have made up the mind and booked !! 

We can have positive feedback’s in real time !",my suggestion will be to have a core harrier ev community those who have made up the mind and booked we can have positive feedbacks in real time ,en,"My suggestion will be to have a core harrier EV Community those who have made up the mind and booked !! 

We can have positive feedback’s in real time !",Positive
"This is just the beginning 🫠

Abhi dekhte raho, kya kya saamne aayega 🙏🏼

Brand new Harrier.ev, just 111kms on the odo, broke down on the middle of a highway ..

#Tatakohameshakeliyetata",this is just the beginning abhi dekhte raho kya kya saamne aayega brand new harrierev just kms on the odo broke down on the middle of a highway tatakohameshakeliyetata,en,"This is just the beginning 🫠

Abhi dekhte raho, kya kya saamne aayega 🙏🏼

Brand new Harrier.ev, just 111kms on the odo, broke down on the middle of a highway ..

#Tatakohameshakeliyetata",Neutral
I got good year in my harrier ev,i got good year in my harrier ev,en,I got good year in my harrier ev,Positive
"Yep in village roads, since you know Nexon EV if I compare to my Nexon EV, harrier ev in the same road is 3x to 5x more comfortable",yep in village roads since you know nexon ev if i compare to my nexon ev harrier ev in the same road is x to x more comfortable,en,"Yep in village roads, since you know Nexon EV if I compare to my Nexon EV, harrier ev in the same road is 3x to 5x more comfortable",Positive
Did you take the car over rough broken roads? I know Nexon absolutely smothers them but how would you rate Harrier EV?,did you take the car over rough broken roads i know nexon absolutely smothers them but how would you rate harrier ev,en,Did you take the car over rough broken roads? I know Nexon absolutely smothers them but how would you rate Harrier EV?,Neutral
Some people are complaining of Harrier not having reclining rear seat,some people are complaining of harrier not having reclining rear seat,en,Some people are complaining of Harrier not having reclining rear seat,Neutral
Bro i myself booked harrier ev . Hope my car doesn’t end up like this. Just wanted to knw if this is real,bro i myself booked harrier ev hope my car doesnt end up like this just wanted to knw if this is real,en,Bro i myself booked harrier ev . Hope my car doesn’t end up like this. Just wanted to knw if this is real,Positive
For harrier also more or less it will be the same SA told me yesterday it may not be more than 5k even I called service centre advisor who takes care of Nexon he also told it’s more or less the same price of Nexon they don’t have an extra cost is what he told me all EV service price are very similar is what he told expect the components cost which might change for car to car,for harrier also more or less it will be the same sa told me yesterday it may not be more than k even i called service centre advisor who takes care of nexon he also told its more or less the same price of nexon they dont have an extra cost is what he told me all ev service price are very similar is what he told expect the components cost which might change for car to car,en,For harrier also more or less it will be the same SA told me yesterday it may not be more than 5k even I called service centre advisor who takes care of Nexon he also told it’s more or less the same price of Nexon they don’t have an extra cost is what he told me all EV service price are very similar is what he told expect the components cost which might change for car to car,Positive
